quarter_date,quarter,year,quarter_num,state_code,state_name,latitude,longitude,wage_index,inflation_rate,wage_growth,real_wage_growth,food,housing,transport
2013-03-01,2013 Q1,2013,1,NSW,New South Wales,-33.8688,151.2093,114.6,0.3,0.6,0.3,-0.8,1.2,0.5
2013-03-01,2013 Q1,2013,1,VIC,Victoria,-37.8136,144.9631,114.4,0.3,0.6,0.3,-0.8,1.2,0.5
2013-03-01,2013 Q1,2013,1,QLD,Queensland,-27.4698,153.0251,115.1,0.3,0.6,0.3,-0.8,1.2,0.5
2013-03-01,2013 Q1,2013,1,SA,South Australia,-34.9285,138.6007,114.2,0.3,0.6,0.3,-0.8,1.2,0.5
2013-03-01,2013 Q1,2013,1,WA,Western Australia,-31.9505,115.8605,117.1,0.3,0.6,0.3,-0.8,1.2,0.5
2013-03-01,2013 Q1,2013,1,TAS,Tasmania,-42.8821,147.3272,115.0,0.3,0.6,0.3,-0.8,1.2,0.5
2013-03-01,2013 Q1,2013,1,NT,Northern Territory,-12.4634,130.8456,115.7,0.3,0.6,0.3,-0.8,1.2,0.5
2013-03-01,2013 Q1,2013,1,ACT,Australian Capital Territory,-35.2809,149.13,115.1,0.3,0.6,0.3,-0.8,1.2,0.5
2013-06-01,2013 Q2,2013,2,NSW,New South Wales,-33.8688,151.2093,115.1,0.4,0.4,0.0,0.1,0.6,-0.8
2013-06-01,2013 Q2,2013,2,VIC,Victoria,-37.8136,144.9631,115.0,0.4,0.4,0.0,0.1,0.6,-0.8
2013-06-01,2013 Q2,2013,2,QLD,Queensland,-27.4698,153.0251,115.6,0.4,0.4,0.0,0.1,0.6,-0.8
2013-06-01,2013 Q2,2013,2,SA,South Australia,-34.9285,138.6007,114.7,0.4,0.4,0.0,0.1,0.6,-0.8
2013-06-01,2013 Q2,2013,2,WA,Western Australia,-31.9505,115.8605,117.8,0.4,0.4,0.0,0.1,0.6,-0.8
2013-06-01,2013 Q2,2013,2,TAS,Tasmania,-42.8821,147.3272,115.4,0.4,0.4,0.0,0.1,0.6,-0.8
2013-06-01,2013 Q2,2013,2,NT,Northern Territory,-12.4634,130.8456,116.1,0.4,0.4,0.0,0.1,0.6,-0.8
2013-06-01,2013 Q2,2013,2,ACT,Australian Capital Territory,-35.2809,149.13,115.5,0.4,0.4,0.0,0.1,0.6,-0.8
2013-09-01,2013 Q3,2013,3,NSW,New South Wales,-33.8688,151.2093,116.1,1.2,1.0,-0.2,0.2,2.0,2.4
2013-09-01,2013 Q3,2013,3,VIC,Victoria,-37.8136,144.9631,116.1,1.2,1.0,-0.2,0.2,2.0,2.4
2013-09-01,2013 Q3,2013,3,QLD,Queensland,-27.4698,153.0251,116.7,1.2,1.0,-0.2,0.2,2.0,2.4
2013-09-01,2013 Q3,2013,3,SA,South Australia,-34.9285,138.6007,116.3,1.2,1.0,-0.2,0.2,2.0,2.4
2013-09-01,2013 Q3,2013,3,WA,Western Australia,-31.9505,115.8605,118.9,1.2,1.0,-0.2,0.2,2.0,2.4
2013-09-01,2013 Q3,2013,3,TAS,Tasmania,-42.8821,147.3272,116.4,1.2,1.0,-0.2,0.2,2.0,2.4
2013-09-01,2013 Q3,2013,3,NT,Northern Territory,-12.4634,130.8456,117.1,1.2,1.0,-0.2,0.2,2.0,2.4
2013-09-01,2013 Q3,2013,3,ACT,Australian Capital Territory,-35.2809,149.13,117.0,1.2,1.0,-0.2,0.2,2.0,2.4
2013-12-01,2013 Q4,2013,4,NSW,New South Wales,-33.8688,151.2093,116.8,0.7,0.5,-0.2,1.6,0.5,-0.1
2013-12-01,2013 Q4,2013,4,VIC,Victoria,-37.8136,144.9631,116.7,0.7,0.5,-0.2,1.6,0.5,-0.1
2013-12-01,2013 Q4,2013,4,QLD,Queensland,-27.4698,153.0251,117.3,0.7,0.5,-0.2,1.6,0.5,-0.1
2013-12-01,2013 Q4,2013,4,SA,South Australia,-34.9285,138.6007,117.2,0.7,0.5,-0.2,1.6,0.5,-0.1
2013-12-01,2013 Q4,2013,4,WA,Western Australia,-31.9505,115.8605,119.5,0.7,0.5,-0.2,1.6,0.5,-0.1
2013-12-01,2013 Q4,2013,4,TAS,Tasmania,-42.8821,147.3272,116.7,0.7,0.5,-0.2,1.6,0.5,-0.1
2013-12-01,2013 Q4,2013,4,NT,Northern Territory,-12.4634,130.8456,117.8,0.7,0.5,-0.2,1.6,0.5,-0.1
2013-12-01,2013 Q4,2013,4,ACT,Australian Capital Territory,-35.2809,149.13,117.5,0.7,0.5,-0.2,1.6,0.5,-0.1
2014-03-01,2014 Q1,2014,1,NSW,New South Wales,-33.8688,151.2093,117.6,0.6,0.7,0.1,0.3,0.6,1.1
2014-03-01,2014 Q1,2014,1,VIC,Victoria,-37.8136,144.9631,117.5,0.6,0.7,0.1,0.3,0.6,1.1
2014-03-01,2014 Q1,2014,1,QLD,Queensland,-27.4698,153.0251,118.1,0.6,0.7,0.1,0.3,0.6,1.1
2014-03-01,2014 Q1,2014,1,SA,South Australia,-34.9285,138.6007,117.9,0.6,0.7,0.1,0.3,0.6,1.1
2014-03-01,2014 Q1,2014,1,WA,Western Australia,-31.9505,115.8605,120.2,0.6,0.7,0.1,0.3,0.6,1.1
2014-03-01,2014 Q1,2014,1,TAS,Tasmania,-42.8821,147.3272,117.6,0.6,0.7,0.1,0.3,0.6,1.1
2014-03-01,2014 Q1,2014,1,NT,Northern Territory,-12.4634,130.8456,118.9,0.6,0.7,0.1,0.3,0.6,1.1
2014-03-01,2014 Q1,2014,1,ACT,Australian Capital Territory,-35.2809,149.13,117.7,0.6,0.7,0.1,0.3,0.6,1.1
2014-06-01,2014 Q2,2014,2,NSW,New South Wales,-33.8688,151.2093,118.0,0.5,0.4,-0.1,0.4,0.7,-0.7
2014-06-01,2014 Q2,2014,2,VIC,Victoria,-37.8136,144.9631,118.2,0.5,0.4,-0.1,0.4,0.7,-0.7
2014-06-01,2014 Q2,2014,2,QLD,Queensland,-27.4698,153.0251,118.6,0.5,0.4,-0.1,0.4,0.7,-0.7
2014-06-01,2014 Q2,2014,2,SA,South Australia,-34.9285,138.6007,118.2,0.5,0.4,-0.1,0.4,0.7,-0.7
2014-06-01,2014 Q2,2014,2,WA,Western Australia,-31.9505,115.8605,120.6,0.5,0.4,-0.1,0.4,0.7,-0.7
2014-06-01,2014 Q2,2014,2,TAS,Tasmania,-42.8821,147.3272,118.0,0.5,0.4,-0.1,0.4,0.7,-0.7
2014-06-01,2014 Q2,2014,2,NT,Northern Territory,-12.4634,130.8456,119.3,0.5,0.4,-0.1,0.4,0.7,-0.7
2014-06-01,2014 Q2,2014,2,ACT,Australian Capital Territory,-35.2809,149.13,118.1,0.5,0.4,-0.1,0.4,0.7,-0.7
2014-09-01,2014 Q3,2014,3,NSW,New South Wales,-33.8688,151.2093,119.1,0.4,0.8,0.4,1.2,0.5,-0.1
2014-09-01,2014 Q3,2014,3,VIC,Victoria,-37.8136,144.9631,119.2,0.4,0.8,0.4,1.2,0.5,-0.1
2014-09-01,2014 Q3,2014,3,QLD,Queensland,-27.4698,153.0251,119.6,0.4,0.8,0.4,1.2,0.5,-0.1
2014-09-01,2014 Q3,2014,3,SA,South Australia,-34.9285,138.6007,119.4,0.4,0.8,0.4,1.2,0.5,-0.1
2014-09-01,2014 Q3,2014,3,WA,Western Australia,-31.9505,115.8605,121.5,0.4,0.8,0.4,1.2,0.5,-0.1
2014-09-01,2014 Q3,2014,3,TAS,Tasmania,-42.8821,147.3272,119.3,0.4,0.8,0.4,1.2,0.5,-0.1
2014-09-01,2014 Q3,2014,3,NT,Northern Territory,-12.4634,130.8456,120.4,0.4,0.8,0.4,1.2,0.5,-0.1
2014-09-01,2014 Q3,2014,3,ACT,Australian Capital Territory,-35.2809,149.13,119.0,0.4,0.8,0.4,1.2,0.5,-0.1
2014-12-01,2014 Q4,2014,4,NSW,New South Wales,-33.8688,151.2093,119.6,0.2,0.6,0.4,0.1,0.5,-2.2
2014-12-01,2014 Q4,2014,4,VIC,Victoria,-37.8136,144.9631,120.0,0.2,0.6,0.4,0.1,0.5,-2.2
2014-12-01,2014 Q4,2014,4,QLD,Queensland,-27.4698,153.0251,120.3,0.2,0.6,0.4,0.1,0.5,-2.2
2014-12-01,2014 Q4,2014,4,SA,South Australia,-34.9285,138.6007,120.2,0.2,0.6,0.4,0.1,0.5,-2.2
2014-12-01,2014 Q4,2014,4,WA,Western Australia,-31.9505,115.8605,122.3,0.2,0.6,0.4,0.1,0.5,-2.2
2014-12-01,2014 Q4,2014,4,TAS,Tasmania,-42.8821,147.3272,119.6,0.2,0.6,0.4,0.1,0.5,-2.2
2014-12-01,2014 Q4,2014,4,NT,Northern Territory,-12.4634,130.8456,121.1,0.2,0.6,0.4,0.1,0.5,-2.2
2014-12-01,2014 Q4,2014,4,ACT,Australian Capital Territory,-35.2809,149.13,119.5,0.2,0.6,0.4,0.1,0.5,-2.2
2015-03-01,2015 Q1,2015,1,NSW,New South Wales,-33.8688,151.2093,120.1,0.2,0.4,0.2,0.2,0.8,-3.3
2015-03-01,2015 Q1,2015,1,VIC,Victoria,-37.8136,144.9631,120.5,0.2,0.4,0.2,0.2,0.8,-3.3
